parte,tema,titulo,LEY,articulo,tipo,tema_no_juridico
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",35,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",36,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",37,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",38,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",39,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",40,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",41,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",42,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",43,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",44,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",45,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",46,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",47,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",48,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",49,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",50,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",51,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",52,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",53,JURIDICO,
